target,baseline,mean_residual_r2,std_residual_r2
voter_allocation,borda_only,-0.03570533698039766,0.039367495999371144
voter_allocation,borda_plus_position,-0.036924821592419346,0.039975300620565236
voter_allocation,borda_plus_position_and_field_order,-0.051275827842809506,0.03645619737560492
voter_allocation_centered,borda_only,-0.0023003163979592235,0.01675228275547147
voter_allocation_centered,borda_plus_position,-0.00306239736218441,0.016667018921112553
voter_allocation_centered,borda_plus_position_and_field_order,-0.003062397362184388,0.01666701892111267
voter_allocation_z,borda_only,0.0029425719396834137,0.01709368151145484
voter_allocation_z,borda_plus_position,0.0012869596833825713,0.015698796455361985
voter_allocation_z,borda_plus_position_and_field_order,0.0012869596833825936,0.015698796455361923
voter_positive_mass,borda_only,-0.040119840802898744,0.026779774672996012
voter_positive_mass,borda_plus_position,-0.04694957421134895,0.02570974991723656
voter_positive_mass,borda_plus_position_and_field_order,-0.052712913303834166,0.023612059909903473
voter_negative_mass,borda_only,-0.006302780831165466,0.034187469256515404
voter_negative_mass,borda_plus_position,-0.010740409065884405,0.03102118100992044
voter_negative_mass,borda_plus_position_and_field_order,-0.023830389872967216,0.026095356054982814
