intervention,direction,target_policy,strength,n_ballots,mean_target_delta,mean_middle_sum_delta,mean_middle_abs_delta,middle_any_large_rate,opposite_to_target_rate
help_to_bottom,help,bottom,0.05,50,0.046719271580128376,0.008631803107055549,0.07834602675740576,0.16,0.2
help_to_bottom,help,bottom,0.1,50,0.0611617393930094,-0.01949510781250823,0.09201098946379098,0.22,0.28
help_to_bottom,help,bottom,0.2,50,0.042809129602833666,0.009160207093138882,0.11492443560957734,0.28,0.3
help_to_top,help,top,0.05,50,-4.06097474967162e-05,0.013357885657454745,0.08420852135423353,0.18,0.32
help_to_top,help,top,0.1,50,-0.028045696134893057,0.004040312314947409,0.07939666466409964,0.2,0.3
help_to_top,help,top,0.2,50,-0.016818852073646997,-0.029712940433747174,0.08869885883546663,0.28,0.3
hurt_to_bottom,hurt,bottom,0.05,50,0.01713683387696892,-0.004689080350543766,0.08877298953413479,0.18,0.24
hurt_to_bottom,hurt,bottom,0.1,50,0.015829516137950868,-0.004123439248685515,0.12681962714419798,0.3,0.18
hurt_to_bottom,hurt,bottom,0.2,50,0.006184070241028714,-0.02363949085650308,0.08478209359665774,0.22,0.2
hurt_to_top,hurt,top,0.05,50,-0.03941390364604509,0.027282375091280456,0.11147071723051148,0.22,0.28
hurt_to_top,hurt,top,0.1,50,-0.056235041529983765,0.024826121400357656,0.12939146710163368,0.26,0.28
hurt_to_top,hurt,top,0.2,50,-0.11183066085547895,0.09799896213567953,0.14033654331304368,0.36,0.42
neg_help_to_bottom,neg_help,bottom,0.05,50,0.01843631606941654,0.001691086297843984,0.09110942261832927,0.2,0.24
neg_help_to_bottom,neg_help,bottom,0.1,50,0.0003053782064121419,0.03990672738733338,0.11309883245144169,0.28,0.24
neg_help_to_bottom,neg_help,bottom,0.2,50,0.013723593465469766,0.020802272774942128,0.10750705160097083,0.26,0.16
neg_help_to_top,neg_help,top,0.05,50,-0.03615969338643783,0.014458136464315296,0.11879043554113931,0.24,0.22
neg_help_to_top,neg_help,top,0.1,50,-0.04300479161094036,0.020429808136695503,0.0836114545514554,0.12,0.24
neg_help_to_top,neg_help,top,0.2,50,-0.1054978703736238,0.06518760151645166,0.1447330876848829,0.4,0.38
neg_hurt_to_bottom,neg_hurt,bottom,0.05,50,0.041581995174067216,0.0013297389309666807,0.08440882503753272,0.18,0.3
neg_hurt_to_bottom,neg_hurt,bottom,0.1,50,0.04928992968673995,0.005920731057615873,0.09960846076832201,0.22,0.22
neg_hurt_to_bottom,neg_hurt,bottom,0.2,50,0.05167979416567824,0.021532670777047763,0.12155459180067078,0.28,0.26
neg_hurt_to_top,neg_hurt,top,0.05,50,0.01410277380735433,-0.0023166915326275806,0.06631380950768645,0.18,0.28
neg_hurt_to_top,neg_hurt,top,0.1,50,-0.018551298579024496,0.009328248037729673,0.10975238650773575,0.28,0.32
neg_hurt_to_top,neg_hurt,top,0.2,50,-0.00023453119897332513,-0.044563933194168355,0.09438980642732622,0.2,0.26
random2_to_bottom,random2,bottom,0.05,50,0.024576227018401616,0.016778759175968702,0.09578257861118572,0.22,0.2
random2_to_bottom,random2,bottom,0.1,50,0.007464982885263855,-0.013873570596223161,0.06100162473091022,0.18,0.18
random2_to_bottom,random2,bottom,0.2,50,0.020478803540737268,0.005698822915554181,0.09705935436741671,0.24,0.18
random2_to_top,random2,top,0.05,50,-0.0012690877825762572,-0.039048856792513555,0.07301523597078127,0.14,0.24
random2_to_top,random2,top,0.1,50,-0.013859231278284798,0.02330824748890377,0.0932895690328097,0.22,0.24
random2_to_top,random2,top,0.2,50,-0.043399080050035184,0.006861285363702008,0.10442885364829589,0.22,0.34
random3_to_bottom,random3,bottom,0.05,50,0.005303705018645564,-0.02173129003931954,0.06500973644356672,0.2,0.2
random3_to_bottom,random3,bottom,0.1,50,0.004760535649968946,-0.011442668090494181,0.07805551332073071,0.22,0.24
random3_to_bottom,random3,bottom,0.2,50,0.011981853498352556,-0.005661741550721578,0.0524731344800672,0.16,0.28
random3_to_top,random3,top,0.05,50,-0.008636819229128553,0.010209418221744166,0.11470017913469117,0.26,0.24
random3_to_top,random3,top,0.1,50,-0.0016113690097776174,0.010667663153199785,0.07237081448178331,0.14,0.18
random3_to_top,random3,top,0.2,50,-0.053294503588336185,-0.006796553704279953,0.11877632413577978,0.2,0.24
random_to_bottom,random,bottom,0.05,50,0.03405267906636785,-0.010985257960537313,0.07529826974603743,0.18,0.2
random_to_bottom,random,bottom,0.1,50,0.04315726947168177,-0.029675391599329595,0.06839693547154069,0.14,0.24
random_to_bottom,random,bottom,0.2,50,0.022680992167437415,-0.0012805515694967707,0.07456693924309672,0.18,0.26
random_to_top,random,top,0.05,50,-0.024147224377694024,0.007491990060667004,0.10549026150501266,0.2,0.18
random_to_top,random,top,0.1,50,-0.026538218180882752,0.00521373428523348,0.10771654353625944,0.24,0.3
random_to_top,random,top,0.2,50,-0.026737312352776297,0.004133959104966575,0.11398666353024847,0.24,0.28
