direction,intervention,mean_target_delta_allocation,mean_target_delta_best_pick,mean_target_delta_borda,median_target_delta_allocation,n_ballots,parse_error_rate,strength,target_allocation_increase_rate,target_best_pick_gain_rate,target_policy
help,help_to_bottom,0.046719271580128396,0.02,0.19791666666666666,0.0,50,0.98,0.05,0.34,0.02,bottom
help,help_to_bottom,0.06116173939300941,0.02,0.3111111111111111,0.0,50,0.9,0.1,0.42,0.02,bottom
help,help_to_bottom,0.04280912960283367,0.04,0.29069767441860467,0.0,50,0.96,0.2,0.32,0.04,bottom
help,help_to_top,-4.060974749671494e-05,-0.14,-0.09090909090909091,0.0,50,0.88,0.05,0.28,0.0,top
help,help_to_top,-0.028045696134893064,-0.14,-0.08888888888888889,0.0,50,0.82,0.1,0.28,0.0,top
help,help_to_top,-0.016818852073647,-0.18,-0.023809523809523808,0.0,50,0.88,0.2,0.26,0.0,top
hurt,hurt_to_bottom,0.01713683387696893,0.02,0.15555555555555556,0.0,50,0.9,0.05,0.28,0.02,bottom
hurt,hurt_to_bottom,0.015829516137950875,0.0,0.05319148936170213,0.0,50,0.9,0.1,0.34,0.0,bottom
hurt,hurt_to_bottom,0.0061840702410287125,0.0,0.023255813953488372,0.0,50,0.88,0.2,0.38,0.0,bottom
hurt,hurt_to_top,-0.0394139036460451,-0.22,-0.20930232558139536,0.0,50,0.9,0.05,0.26,0.02,top
hurt,hurt_to_top,-0.05623504152998377,-0.28,-0.3888888888888889,0.0,50,0.9,0.1,0.22,0.02,top
hurt,hurt_to_top,-0.11183066085547896,-0.46,-0.6625,-0.0016866566716641496,50,0.88,0.2,0.26,0.02,top
neg_help,neg_help_to_bottom,0.018436316069416547,0.0,0.03333333333333333,0.0,50,0.88,0.05,0.32,0.0,bottom
neg_help,neg_help_to_bottom,0.0003053782064121454,0.0,0.011363636363636364,0.0,50,0.9,0.1,0.28,0.0,bottom
neg_help,neg_help_to_bottom,0.013723593465469766,0.0,-0.046511627906976744,0.0,50,0.92,0.2,0.36,0.0,bottom
neg_help,neg_help_to_top,-0.03615969338643784,-0.22,-0.25555555555555554,0.0,50,0.88,0.05,0.28,0.02,top
neg_help,neg_help_to_top,-0.04300479161094036,-0.34,-0.42857142857142855,0.0,50,0.9,0.1,0.2,0.0,top
neg_help,neg_help_to_top,-0.10549787037362382,-0.44,-0.6547619047619048,0.0,50,0.9,0.2,0.16,0.0,top
neg_hurt,neg_hurt_to_bottom,0.04158199517406722,0.04,0.25,0.0,50,0.92,0.05,0.3,0.04,bottom
neg_hurt,neg_hurt_to_bottom,0.049289929686739974,0.04,0.2553191489361702,0.0,50,0.86,0.1,0.46,0.04,bottom
neg_hurt,neg_hurt_to_bottom,0.05167979416567825,0.06,0.32978723404255317,0.0,50,0.82,0.2,0.46,0.06,bottom
neg_hurt,neg_hurt_to_top,0.01410277380735433,-0.08,-0.07608695652173914,0.0,50,0.96,0.05,0.34,0.02,top
neg_hurt,neg_hurt_to_top,-0.018551298579024503,-0.16,-0.07777777777777778,0.0,50,0.82,0.1,0.24,0.0,top
neg_hurt,neg_hurt_to_top,-0.00023453119897333017,-0.12,-0.022727272727272728,0.0,50,0.9,0.2,0.24,0.0,top
random2,random2_to_bottom,0.024576227018401644,0.0,0.09523809523809523,0.0,50,0.86,0.05,0.3,0.0,bottom
random2,random2_to_bottom,0.007464982885263855,0.02,0.06976744186046512,0.0,50,0.94,0.1,0.34,0.02,bottom
random2,random2_to_bottom,0.02047880354073727,0.0,0.045454545454545456,0.0,50,0.88,0.2,0.26,0.0,bottom
random2,random2_to_top,-0.0012690877825762546,-0.1,-0.03260869565217391,0.0,50,0.92,0.05,0.3,0.02,top
random2,random2_to_top,-0.013859231278284794,-0.12,-0.1595744680851064,0.0,50,0.9,0.1,0.32,0.02,top
random2,random2_to_top,-0.0433990800500352,-0.26,-0.3488372093023256,0.0,50,0.94,0.2,0.24,0.0,top
random3,random3_to_bottom,0.00530370501864557,0.0,0.06818181818181818,0.0,50,0.92,0.05,0.26,0.0,bottom
random3,random3_to_bottom,0.004760535649968949,0.0,0.13953488372093023,0.0,50,0.94,0.1,0.18,0.0,bottom
random3,random3_to_bottom,0.011981853498352556,0.0,0.031914893617021274,0.0,50,0.96,0.2,0.32,0.0,bottom
random3,random3_to_top,-0.00863681922912856,-0.18,-0.17777777777777778,0.0,50,0.86,0.05,0.3,0.02,top
random3,random3_to_top,-0.0016113690097776222,-0.1,-0.09782608695652174,0.0,50,0.9,0.1,0.28,0.02,top
random3,random3_to_top,-0.0532945035883362,-0.24,-0.3068181818181818,0.0,50,0.86,0.2,0.22,0.0,top
random,random_to_bottom,0.03405267906636785,0.0,0.13333333333333333,0.0,50,0.96,0.05,0.3,0.0,bottom
random,random_to_bottom,0.04315726947168177,0.04,0.21739130434782608,0.0,50,0.88,0.1,0.36,0.04,bottom
random,random_to_bottom,0.022680992167437432,0.04,0.24444444444444444,0.0,50,0.88,0.2,0.26,0.04,bottom
random,random_to_top,-0.02414722437769403,-0.2,-0.18181818181818182,0.0,50,0.92,0.05,0.22,0.0,top
random,random_to_top,-0.02653821818088276,-0.12,-0.13043478260869565,0.0,50,0.9,0.1,0.3,0.0,top
random,random_to_top,-0.02673731235277631,-0.08,-0.10638297872340426,0.0,50,0.88,0.2,0.28,0.02,top
